"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.322829368,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.405779059,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.095771949,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.761315198,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.955563734,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.658784146,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.571061184,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.901970005,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.684904073,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.479896426,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.052939341,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",6.52844295,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.733513287,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.525013404,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.45780531,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.103523569,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.163996716,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.013643961,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.165087422,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.347472292,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.358150705,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.110855207,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.465339449,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.150092019,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.267809916,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.02334399,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.857296978,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.71007989,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.180031541,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.403655826,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.217320416,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.472440397,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.4496974,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.2,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.308902555,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.588596311,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.430867107,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.671567869,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.592250083,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.881775267,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.576116387,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.009973958,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.049073357,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.303263951,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.310800531,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.061030288,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.333179069,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.902059,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.278145468,
