"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","NATPOPDIST","INTMD","PC","A","2014",48.3,
"HUN","NATPOPDIST","INTMD","PC","A","2014",42.1,

